number of cooks =10,number of max customers per minute = 2,number of Cashiers = 3,
Order Number,Time Taken,Number of Ordered Things,Excess Wait Time 
1076,7,1,0,
1077,7,1,0,
1075,28,4,0,
1079,7,1,0,
1078,21,3,0,
1080,21,3,0,
1082,14,2,0,
1081,28,4,0,
1085,7,1,0,
1083,28,4,0,
1084,28,4,0,
1086,21,3,0,
1088,7,1,0,
1087,14,2,0,
1089,21,3,0,
1090,21,3,0,
1091,28,4,0,
1092,7,1,0,
1093,14,2,0,
1094,21,3,0,
1097,14,2,0,
1095,28,4,0,
1100,7,1,0,
1099,14,2,0,
1096,28,4,0,
1098,21,3,0,
1101,21,3,0,
1102,14,2,0,
1104,7,1,0,
1103,28,4,0,
1106,7,1,0,
1108,14,2,0,
1105,28,4,0,
1109,14,2,0,
1107,21,3,0,
1111,7,1,0,
1112,7,1,0,
1110,28,4,0,
1114,14,2,0,
1113,21,3,0,
1115,14,2,0,
1116,7,1,0,
1117,14,2,0,
1119,7,1,0,
1120,7,1,0,
1118,28,4,0,
1121,14,2,0,
1122,14,2,0,
1123,28,4,0,
1125,7,1,0,
1124,21,3,0,
1126,14,2,0,
1128,14,2,0,
1132,7,1,0,
1127,28,4,0,
1129,21,3,0,
1130,28,4,0,
1131,28,4,0,
1133,28,4,0,
1135,21,3,0,
1134,28,4,0,
1136,7,1,0,
1137,14,2,0,
1138,28,4,0,
1139,28,4,0,
1140,28,4,0,
1143,14,2,0,
1141,28,4,0,
1142,28,4,0,
1144,28,4,0,
1146,14,2,0,
1145,21,3,0,
1149,14,2,0,
1147,28,4,0,
1148,28,4,0,
1151,7,1,0,
1150,28,4,0,
1153,14,2,0,
1152,28,4,0,
1155,21,3,0,
1154,28,4,0,
1156,14,2,0,
1158,7,1,0,
1157,21,3,0,
1160,7,1,0,
1159,14,2,0,
1162,7,1,0,
1161,21,3,0,
1163,14,2,0,
1164,21,3,0,
1165,7,1,0,
1170,7,1,0,
1166,28,4,0,
1167,28,4,0,
1168,28,4,0,
1169,28,4,0,
1171,21,3,0,
1173,21,3,0,
1172,28,4,0,
1174,21,3,0,
1175,7,1,0,
1176,28,4,0,
1179,7,1,0,
1178,14,2,0,
1177,28,4,0,
1180,14,2,0,
1182,7,1,0,
1181,21,3,0,
